"country" "logCoup"
"USA" -10.4904745372677
"Cananda" -9.28614208539246
"Bahamas" -6.12371675823412
"Cuba" -7.27203046026544
"Haiti" -5.91398512183761
"Dominican Rep" -5.57322800868413
"Jamaica" -6.43581602426865
"Trinidad and Tobago" -6.22253946874847
"Barbados" -7.70315669358084
"Dominica" -5.99551272995455
"Grenada" -6.01395558494351
"St Lucia" -6.23144911561822
"St Vincent" -6.06377720871961
"Mexico" -7.29887379338338
"Guatemala" -6.10364828811393
"Honduras" -5.08043563435553
"El Salvador" -4.61202361718911
"Nicaragua" -5.40097043952762
"Costa Rica" -8.38091557312369
"Panama" -6.24806147468141
"Colombia" -6.60802112550622
"Venezuela" -6.60861411344146
"Guyana" -6.36985938369348
"Suriname" -4.83022806846553
"Ecuador" -4.67127793772422
"Peru" -4.77904749599938
"Brazil" -6.43164533130464
"Bolivia" -2.57389656461156
"Paraguay" -6.48937394560743
"Chile" -5.78594743271084
"Argentina" -5.60819051637334
"Uruguay" -4.74037154365694
"UKG" -6.90466007407483
"Ireland" -6.87936220448092
"Netherlands" -7.62417108648144
"Belgium" -7.33838436075385
"Luxembourg" -7.41841424996881
"France" -6.71928599160195
"Monaco" -8.09127207474069
"Liechtenstein" -7.99246466248126
"Switzerland" -7.78434464400474
"Spain" -5.74207641739388
"Portugal" -4.68957405638882
"Germany" -6.79863185196378
"Germany East" -7.15608844137001
"Poland" -7.25306646427055
"Austria" -6.91025840920026
"Hungary" -6.12330594001541
"Czechoslovakia" -7.03365869587129
"Italy" -6.96835490111107
"San Marino" -8.37786612619514
"Malta" -6.69952234040368
"Albania" -5.64682574782038
"Yugoslavia" -5.66095289668085
"Yugoslavia" -5.51475842980257
"Yugoslavia" -5.51557825470409
"Greece" -5.31831601305473
"Greece" -5.23092043456198
"Cyprus" -5.66383125915397
"Bulgaria" -6.33587218591523
"Romania" -6.52378623121886
"Soviet Union" -7.03502063002801
"Finland" -7.64778444544221
"Sweden" -7.50450196525577
"Norway" -7.60974140820929
"Denmark" -7.7566210345415
"Iceland" -7.31617474691674
"Cape Verde" -5.85703855475715
"Sao Tome and Principe" -6.12394506352495
"Guinea Bissau" -5.5626475621925
"Equatorial Guinea" -4.80822928697686
"Gambia" -6.07380322183117
"Mali" -5.42190974380067
"Senegal" -6.09482706010314
"Benin" -5.12308756356784
"Mauritania" -3.92960669638546
"Niger" -4.4766626417837
"Ivory Coast" -5.37879016669808
"Guinea" -6.27393356450701
"Burkina Faso" -4.97465540366357
"Liberia" -4.13616705707594
"Sierra Leone" -5.42977091937759
"Ghana" -3.36287322414094
"Togo" -5.50743474612915
"Cameroon" -6.42384874456741
"Nigeria" -4.44947498526185
"Gabon" -6.37102801769349
"Cen African Rep" -3.69544093361578
"Chad" -2.96952665978591
"Congo-Brz" -5.53315401645329
"Congo/Zaire" -5.33855619780771
"Uganda" -3.80761344178189
"Uganda" -3.77481649931377
"Kenya" -6.35749742597243
"Tanzania" -5.53743787238539
"Burundi" -4.65362540625749
"Rwanda" -4.93489722270508
"Somalia" -4.77387290162405
"Djibouti" -5.56176221463577
"Ethiopia" -3.85396166601488
"Angola" -4.35097768112357
"Mozambique" -4.79750571566032
"Zambia" -6.07302173436032
"Zimbabwe" -5.3538300764783
"Malawi" -4.93769621912245
"South Africa" -6.12888922301965
"Lesotho" -5.67208033992569
"Botswana" -6.47610274112033
"Swaziland" -5.28269995565296
"Madagascar" -5.01782608598184
"Comoros" -4.50211733093201
"Mauritius" -5.37082354533492
"Seychelles" -5.81301715186263
"Morocco" -5.25880823345332
"Algeria" -5.70046797368837
"Tunisia" -7.90661273451325
"Libya" -6.01542942456181
"Sudan" -4.69297460462487
"Iran" -6.14643556331914
"Turkey" -5.99567339188204
"Iraq" -4.89682012000126
"Egypt" -5.37530640807617
"Syria" -5.66000485231031
"Lebanon" -5.86381039165634
"Jordan" -6.72460073588429
"Israel" -7.82204800819362
"Saudi Arabia" -6.00743134063006
"Yemen" -5.03320304081395
"Yemen South" -5.44944262757361
"Kuwait" -6.88472257987156
"Bahrain" -7.11477944841646
"Qatar" -6.94038178180923
"United Arab Emirates" -6.60498756911231
"Oman" -7.18140296247011
"Afghanistan" -4.27130133523699
"China" -6.9769981817243
"Mongolia" -8.63879601317549
"Korea North" -7.83535977075657
"Korea South" -6.32699322901698
"Japan" -9.84899936725206
"India" -5.99314595989052
"Bhutan" -7.73763898311555
"Pakistan" -4.54962195668865
"Bangladesh" -4.49475645933372
"Myanmar" -5.1693086859845
"Sri Lanka" -7.65030280983721
"Maldives" -6.73506327116403
"Nepal" -5.92999322501988
"Thailand" -4.57336148947344
"Cambodia" -5.04838389134406
"Laos" -5.56061763306344
"Vietnam" -8.32698614034829
"Malaysia" -8.9556981536026
"Singapore" -9.23873984649788
"Brunei" -7.09432585006551
"Philippines" -5.94978532011649
"Indonesia" -6.00852932573457
"Australia" -9.00821618788605
"Papua New Guinea" -5.55633708224968
"New Zealand" -9.14081430932757
"Solomon Islands" -6.17707149489347
"Kiribati" -6.32481366574322
"Tuvalu" -9.15207146385221
"Fiji" -8.61756616556302
"Tonga" -8.94643882818981
"Nauru" -9.83209755644945
"Marshall Islands" -7.03275176915682
"Micronesia" -6.70718458852032
"Samoa" -7.08712120795046
