"country" "logCoup" "democracy" "age" "tenure"
"USA" -10.3879958679847 1 56 42
"Cananda" -9.23565817996047 1 61 4
"Bahamas" -6.21191173687445 1 50 84
"Cuba" -7.24855687376458 0 53 258
"Haiti" -5.9001623887012 0 29 111
"Dominican Rep" -5.60909066782322 1 69 24
"Jamaica" -6.41324198070845 1 56 100
"Trinidad and Tobago" -6.27946667077069 1 69 215
"Barbados" -7.83182619817525 1 49 45
"Dominica" -5.97472543110371 1 37 13
"Grenada" -6.06107189305999 0 37 16
"St Lucia" -6.28895456055085 1 64 12
"St Vincent" -6.1389905519636 1 65 9
"Mexico" -7.22137073346042 0 60 43
"Guatemala" -5.98325831056088 0 56 24
"Honduras" -5.0258656899913 0 49 23
"El Salvador" -4.61052449475002 0 42 9
"Nicaragua" -5.38585979361071 0 35 12
"Costa Rica" -7.05093304865847 1 54 26
"Panama" -6.19020821159866 0 51 141
"Colombia" -6.57400101842797 1 64 23
"Venezuela" -6.60809522977095 1 55 16
"Guyana" -6.35438754095048 0 57 170
"Suriname" -4.90430424955399 0 35 5
"Ecuador" -4.68937822328152 1 40 11
"Peru" -5.180178838531 1 59 59
"Brazil" -6.33564642679925 0 62 16
"Bolivia" -2.08754549014654 0 55 8
"Paraguay" -6.48392648685701 0 68 312
"Chile" -5.74307439034432 0 65 82
"Argentina" -5.5826184941737 0 55 52
"Uruguay" -4.76239725973291 0 76 46
"UKG" -7.52802381412951 1 55 14
"Ireland" -8.87744595670285 1 55 7
"Netherlands" -10.0110727632161 1 49 31
"Belgium" -9.55001773954634 1 44 15
"Luxembourg" -9.6519509267207 1 67 12
"France" -8.80154747377534 1 54 74
"Monaco" -10.494078144771 0 57 374
"Liechtenstein" -10.542146547812 0 74 508
"Switzerland" -10.3009844909951 1 65 6
"Spain" -6.36927557843433 1 48 48
"Portugal" -5.06699931766537 1 66 48
"Germany" -8.86038797379828 1 62 74
"Germany East" -9.39546585610287 0 68 110
"Poland" -9.61231159083009 0 67 115
"Austria" -8.9426059373341 1 69 123
"Hungary" -7.20185791923684 0 68 284
"Czechoslovakia" -9.19841180111091 0 67 143
"Italy" -9.28722141631214 1 52 11
"San Marino" -10.8869870341037 1 57 3
"Malta" -7.08616449895618 1 64 109
"Albania" -6.16158879444656 0 72 428
"Yugoslavia" -6.16801081304541 0 68 2
"Greece" -5.71419651300507 1 62 2
"Cyprus" -6.07276137419396 0 48 35
"Bulgaria" -8.20128816002072 0 69 291
"Romania" -8.46034037982345 0 62 184
"Soviet Union" -9.46911110093354 0 74 189
"Finland" -10.10193849126 1 80 292
"Sweden" -9.79732735670774 1 54 9
"Norway" -10.0267857688806 1 53 54
"Denmark" -10.1392098860572 1 57 65
"Iceland" -7.77573215057774 1 70 5
"Cape Verde" -5.71056542695303 0 46 60
"Sao Tome and Principe" -6.62423184167922 0 43 61
"Guinea Bissau" -5.3316466681969 0 49 70
"Equatorial Guinea" -4.74847489656206 0 38 11
"Gambia" -6.07667391233288 0 56 185
"Mali" -5.43507682090494 0 44 140
"Senegal" -6.29327258960587 0 74 239
"Benin" -5.11761378463646 0 47 93
"Mauritania" -3.97238891071459 0 40 6
"Niger" -4.58807710856191 0 49 75
"Ivory Coast" -5.47321852273851 0 75 239
"Guinea" -5.71844951169961 0 58 261
"Burkina Faso" -5.13791768106237 0 64 174
"Liberia" -4.3588336825978 0 29 3
"Sierra Leone" -5.61335693256678 0 75 147
"Ghana" -3.32349772448114 1 46 10
"Togo" -5.48197581658566 0 43 159
"Cameroon" -6.42428029723895 0 56 246
"Nigeria" -4.62240790547443 1 55 9
"Gabon" -6.2773349283305 0 45 152
"Cen African Rep" -3.74665264512594 0 50 10
"Chad" -3.11203465591867 0 36 16
"Congo-Brz" -5.5151806799051 0 37 17
"Congo/Zaire" -5.53571198363211 0 50 176
"Uganda" -3.0483907098502 0 56 2
"Kenya" -7.53999552463856 0 56 23
"Tanzania" -5.66680465953463 0 58 224
"Burundi" -4.70991977718716 0 34 44
"Rwanda" -5.03778554921752 0 43 84
"Somalia" -4.90761401231385 0 68 129
"Djibouti" -5.43056957767418 0 64 37
"Ethiopia" -4.06116126843187 0 43 41
"Angola" -4.36724837309616 0 38 10
"Mozambique" -4.96011805075844 0 47 61
"Zambia" -7.06862850457022 0 56 189
"Zimbabwe" -5.4224530375322 0 56 4
"Malawi" -5.06386203533551 0 74 192
"South Africa" -6.26018094371695 0 64 22
"Lesotho" -5.71604738207627 0 66 165
"Botswana" -6.50269025089531 0 59 166
"Swaziland" -5.27031317013844 0 81 142
"Madagascar" -5.14093762005829 0 44 61
"Comoros" -4.44773917803926 0 51 26
"Mauritius" -5.41818256840874 1 80 148
"Seychelles" -5.72076587969661 0 45 38
"Morocco" -5.32322500225422 0 51 233
"Algeria" -5.75144028018574 0 51 17
"Tunisia" -7.90606984633488 0 77 276
"Libya" -6.04414828139342 0 38 130
"Sudan" -4.92333895771141 0 50 134
"Iran" -6.17145282810826 0 78 17
"Turkey" -6.06120055179288 1 56 8
"Iraq" -4.69839354471893 0 43 12
"Egypt" -5.40398904172208 0 62 118
"Syria" -5.67405863748998 0 50 113
"Lebanon" -5.84149402053169 0 56 46
"Jordan" -6.69960354548716 0 45 335
"Israel" -7.80057365467115 1 67 37
"Saudi Arabia" -5.99679874869868 0 67 64
"Yemen" -5.04234270294068 0 38 24
"Yemen South" -5.42138936413803 0 41 3
"Kuwait" -6.84929770941057 0 54 30
"Bahrain" -7.04403329727476 0 47 107
"Qatar" -6.80267480253163 0 48 101
"United Arab Emirates" -6.55505823641263 0 62 103
"Oman" -7.12107226947861 0 40 120
"Afghanistan" -4.64248791097247 0 51 7
"China" -9.08812273925193 0 59 45
"Mongolia" -7.28711414000582 0 64 342
"Korea North" -8.43976929445143 0 68 382
"Korea South" -6.67648484045632 0 61 9
"Japan" -8.13807205864767 1 70 19
"Japan" -10.070723471912 1 67 1
"India" -6.42594660428664 1 63 6
"Bhutan" -6.68653357323063 0 25 96
"Pakistan" -4.96484963894712 0 56 36
"Bangladesh" -4.93824021668091 0 44 56
"Myanmar" -5.55820270609035 0 69 220
"Sri Lanka" -6.83218409213506 0 74 36
"Maldives" -6.88394110088288 0 43 20
"Nepal" -6.13450385418053 0 34 102
"Thailand" -4.95553649981726 0 60 4
"Cambodia" -5.38887684880704 0 46 18
"Laos" -5.80455353798022 0 60 55
"Vietnam" -8.92516142974252 0 72 130
"Malaysia" -9.45752050111863 0 58 54
"Singapore" -9.68194528258889 0 57 179
"Brunei" -7.26286002775135 0 34 153
"Philippines" -6.35272140055183 0 63 175
"Indonesia" -6.39021226746862 0 59 172
"Australia" -9.50337005075456 1 50 56
"Papua New Guinea" -5.84653337953259 1 41 4
"New Zealand" -9.53884443894822 1 59 55
"Solomon Islands" -6.4309001747873 1 37 24
"Kiribati" -6.4167854839275 1 30 11
"Tuvalu" -9.20535283046514 1 52 21
"Fiji" -8.96426184937948 0 60 117
"Tonga" -7.54433310805419 0 58 121
"Nauru" -9.79732735670774 1 58 26
"Marshall Islands" -7.01400507882485 1 52 8
"Micronesia" -6.74274944439787 1 49 14
"Samoa" -7.23806653348988 1 42 52
