"waiting" "etime"
79 1
54 0
74 1
62 0
85 1
55 0
88 1
85 1
51 0
85 1
54 0
84 1
78 1
47 0
83 1
52 0
62 0
84 1
52 0
79 1
51 0
47 0
78 1
69 1
74 1
83 1
55 0
76 1
78 1
79 1
73 1
77 1
66 1
80 1
74 1
52 0
48 0
80 1
59 0
90 1
80 1
58 0
84 1
58 0
73 1
83 1
64 1
53 0
82 1
59 0
75 1
90 1
54 0
80 1
54 0
83 1
71 1
64 0
77 1
81 1
59 0
84 1
48 0
82 1
60 0
92 1
78 1
78 1
65 0
73 1
82 1
56 0
79 1
71 1
62 0
76 1
60 0
78 1
76 1
83 1
75 1
82 1
70 1
65 0
73 1
88 1
76 1
80 1
48 0
86 1
60 0
90 1
50 0
78 1
63 0
72 1
84 1
75 1
51 0
82 1
62 0
88 1
49 0
83 1
81 1
47 0
84 1
52 0
86 1
81 1
75 1
59 0
89 1
79 1
59 0
81 1
50 0
85 1
59 0
87 1
53 0
69 1
77 1
56 0
88 1
81 1
45 0
82 1
55 0
90 1
45 0
83 1
56 0
89 1
46 0
82 1
51 0
86 1
53 0
79 1
81 1
60 0
82 1
77 1
76 1
59 0
80 1
49 0
96 1
53 0
77 1
77 1
65 0
81 1
71 1
70 1
81 1
93 1
53 0
89 1
45 0
86 1
58 0
78 1
66 1
76 1
63 0
88 1
52 0
93 1
49 0
57 0
77 1
68 1
81 1
81 1
73 1
50 0
85 1
74 1
55 0
77 1
83 1
83 1
51 0
78 1
84 1
46 0
83 1
55 0
81 1
57 0
76 1
84 1
77 1
81 1
87 1
77 1
51 0
78 1
60 0
82 1
91 1
53 0
78 1
46 0
77 1
84 1
49 0
83 1
71 0
80 1
49 0
75 1
64 1
76 1
53 0
94 1
55 0
76 1
50 0
82 1
54 0
75 1
78 1
79 1
78 1
78 1
70 1
79 1
70 1
54 0
86 1
50 0
90 1
54 0
54 0
77 1
79 1
64 0
75 1
47 0
86 1
63 0
85 1
82 1
57 0
82 1
67 0
74 1
54 0
83 1
73 1
73 1
88 1
80 1
71 1
83 1
56 0
79 1
78 1
84 1
58 0
83 1
43 0
60 0
75 1
81 1
46 0
90 1
46 0
74 1
